,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
0,cabo san lucas,22.8909,-109.9124,60.01,85,42,1.01,1612687256
1,saint-philippe,-21.3585,55.7679,87.8,62,0,11.5,1612687256
2,kruisfontein,-34.0033,24.7314,81.0,54,0,8.99,1612687257
3,avarua,-21.2078,-159.775,77.0,88,8,3.44,1612687257
4,jamestown,42.097,-79.2353,17.6,57,1,8.05,1612687257
5,gobabis,-22.45,18.9667,81.63,38,0,13.18,1612687208
6,maltahohe,-24.8333,16.9833,85.28,24,0,12.95,1612687258
7,kungurtug,50.5994,97.5228,24.87,92,0,0.69,1612687258
8,port alfred,-33.5906,26.891,73.99,78,44,5.01,1612687258
9,butaritari,3.0707,172.7902,81.43,80,75,19.06,1612687258
10,alofi,-19.0595,-169.9187,78.8,94,100,4.61,1612687258
11,phek,25.6667,94.5,63.18,31,29,2.46,1612687259
12,talnakh,69.4865,88.3972,-28.07,71,0,2.53,1612687259
13,nyurba,63.2842,118.3319,-18.08,87,57,6.29,1612687259
14,hilo,19.7297,-155.09,69.8,68,90,4.61,1612687259
15,popova,42.9603,131.7228,15.8,35,99,6.71,1612687259
16,mar del plata,-38.0023,-57.5575,64.99,82,75,7.81,1612687259
17,pevek,69.7008,170.3133,-9.67,86,0,3.06,1612687259
18,dharchula,29.85,80.5333,73.63,16,0,5.03,1612687259
19,rikitea,-23.1203,-134.9692,77.34,74,38,11.18,1612687260
20,ca mau,9.1769,105.15,83.71,61,87,6.51,1612687260
21,conakry,9.538,-13.6773,77.0,88,75,12.26,1612687260
22,ushuaia,-54.8,-68.3,44.6,76,40,9.22,1612687260
23,san cristobal,7.7669,-72.225,65.93,85,93,2.59,1612687260
24,nanortalik,60.1432,-45.2371,32.05,89,69,6.46,1612687260
25,qaanaaq,77.484,-69.3632,11.48,89,100,1.23,1612687261
26,vaini,-21.2,-175.2,78.8,94,75,9.22,1612687261
27,atuona,-9.8,-139.0333,79.45,76,85,22.73,1612687261
28,adre,13.4667,22.2,73.27,20,21,21.3,1612687261
29,sakakah,29.9697,40.2064,55.4,50,0,4.61,1612687261
30,kwinana,-32.25,115.7667,70.0,100,75,14.97,1612687261
31,khatanga,71.9667,102.5,-31.52,79,0,8.72,1612687261
32,cherskiy,68.75,161.3,-4.92,79,0,2.98,1612687261
33,thompson,55.7435,-97.8558,-32.8,61,40,11.5,1612687262
34,ukiah,39.1502,-123.2078,46.0,87,1,1.88,1612687262
35,puerto ayora,-0.7393,-90.3518,75.99,96,54,1.99,1612687262
36,port elizabeth,-33.918,25.5701,77.0,65,75,19.57,1612687262
37,hobart,-42.8794,147.3294,60.8,51,20,16.11,1612687099
38,iqaluit,63.7506,-68.5145,24.8,58,20,12.66,1612687262
39,phulabani,20.4667,84.2333,81.82,22,4,8.7,1612687262
40,hasaki,35.7333,140.8333,57.2,38,20,3.44,1612687052
41,mayo,38.8876,-76.5119,41.0,56,90,6.91,1612687262
42,cape town,-33.9258,18.4232,75.0,56,40,21.85,1612687210
43,mahebourg,-20.4081,57.7,87.8,66,40,16.11,1612687263
44,krasnorechenskiy,44.6265,135.3532,-5.08,86,72,10.78,1612687263
45,rio grande,-32.035,-52.0986,66.0,96,2,6.4,1612687263
46,castro,-24.7911,-50.0119,52.97,97,57,3.89,1612687263
47,bonthe,7.5264,-12.505,80.96,74,52,1.9,1612687263
48,princeton,25.5384,-80.4089,75.2,91,1,4.61,1612687263
49,aklavik,68.2191,-135.0107,-13.0,77,100,6.91,1612687263
50,grindavik,63.8424,-22.4338,33.8,60,0,20.71,1612687264
51,yellowknife,62.456,-114.3525,-44.0,66,1,3.44,1612687264
52,zhezkazgan,47.8043,67.7144,22.23,95,93,14.79,1612687264
53,puerto madero,14.7208,-92.4215,73.62,74,0,5.68,1612687264
54,busselton,-33.65,115.3333,63.0,92,100,3.0,1612687264
55,sola,-13.8833,167.55,82.42,73,7,9.13,1612687264
56,ternate,0.8,127.4,82.81,76,100,7.05,1612687264
57,tasiilaq,65.6145,-37.6368,32.0,59,40,14.97,1612687264
58,sioux lookout,50.1001,-91.917,-23.8,69,90,12.66,1612687264
59,lagoa,39.05,-27.9833,59.05,87,100,18.86,1612687265
60,cap malheureux,-19.9842,57.6142,84.99,72,43,10.0,1612687265
61,pacific grove,36.6177,-121.9166,46.4,87,1,5.66,1612687265
62,prince rupert,54.3161,-130.3201,37.4,80,75,6.91,1612687265
63,port hardy,50.6996,-127.4199,39.2,100,90,8.05,1612687265
64,albany,42.6001,-73.9662,19.0,58,100,0.72,1612687265
65,skeldon,5.8833,-57.1333,73.63,93,98,4.03,1612687265
66,alihe,50.5667,123.7167,-3.17,85,58,2.39,1612687265
67,punta arenas,-53.15,-70.9167,44.6,81,0,6.91,1612687266
68,katsuura,35.1333,140.3,57.0,58,0,1.01,1612687266
69,oranjestad,12.524,-70.027,78.24,78,100,26.28,1612687266
